label_id,image_id,defect_category,defect_type,severity,detection_method,component_id,roi_id,label_status,reviewer,notes
22,PCB_20260510_163459_812473,PCB / Pad / Surface Defect,Mouse Bite,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041001.txt
23,PCB_20260510_163459_812473,PCB / Pad / Surface Defect,Spur,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041001.txt
24,PCB_20260510_163459_812473,PCB / Pad / Surface Defect,Spurious Copper,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041001.txt
25,PCB_20260510_163459_812473,PCB / Pad / Surface Defect,Pin Hole,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041001.txt
26,PCB_20260510_163459_812473,PCB / Pad / Surface Defect,Mouse Bite,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041001.txt
27,PCB_20260510_163459_850936,Electrical / Circuit Defect,Short Circuit,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041002.txt
28,PCB_20260510_163459_850936,PCB / Pad / Surface Defect,Spur,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041002.txt
29,PCB_20260510_163459_850936,PCB / Pad / Surface Defect,Pin Hole,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041002.txt
30,PCB_20260510_163459_850936,PCB / Pad / Surface Defect,Pin Hole,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041002.txt
31,PCB_20260510_163459_850936,PCB / Pad / Surface Defect,Spur,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041002.txt
32,PCB_20260510_163459_850936,PCB / Pad / Surface Defect,Spurious Copper,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041002.txt
33,PCB_20260510_163459_850936,PCB / Pad / Surface Defect,Pin Hole,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041002.txt
34,PCB_20260510_163459_892819,Electrical / Circuit Defect,Open Circuit,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041003.txt
35,PCB_20260510_163459_892819,PCB / Pad / Surface Defect,Mouse Bite,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041003.txt
36,PCB_20260510_163459_892819,PCB / Pad / Surface Defect,Mouse Bite,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041003.txt
37,PCB_20260510_163459_892819,PCB / Pad / Surface Defect,Spurious Copper,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041003.txt
38,PCB_20260510_163459_892819,PCB / Pad / Surface Defect,Pin Hole,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041003.txt
39,PCB_20260510_163459_892819,PCB / Pad / Surface Defect,Pin Hole,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041003.txt
40,PCB_20260510_163459_930760,Electrical / Circuit Defect,Open Circuit,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041004.txt
41,PCB_20260510_163459_930760,Electrical / Circuit Defect,Short Circuit,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041004.txt
42,PCB_20260510_163459_930760,PCB / Pad / Surface Defect,Spur,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041004.txt
43,PCB_20260510_163459_930760,PCB / Pad / Surface Defect,Spurious Copper,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041004.txt
44,PCB_20260510_163459_930760,PCB / Pad / Surface Defect,Pin Hole,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041004.txt
45,PCB_20260510_163459_930760,PCB / Pad / Surface Defect,Spur,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041004.txt
46,PCB_20260510_163459_930760,PCB / Pad / Surface Defect,Mouse Bite,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041004.txt
47,PCB_20260510_163459_930760,PCB / Pad / Surface Defect,Mouse Bite,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041004.txt
48,PCB_20260510_163459_971385,Electrical / Circuit Defect,Open Circuit,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041005.txt
49,PCB_20260510_163459_971385,Electrical / Circuit Defect,Short Circuit,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041005.txt
50,PCB_20260510_163459_971385,PCB / Pad / Surface Defect,Spur,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041005.txt
51,PCB_20260510_163459_971385,PCB / Pad / Surface Defect,Pin Hole,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041005.txt
52,PCB_20260510_163459_971385,PCB / Pad / Surface Defect,Spurious Copper,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041005.txt
53,PCB_20260510_163459_971385,PCB / Pad / Surface Defect,Spurious Copper,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041005.txt
54,PCB_20260510_163459_971385,PCB / Pad / Surface Defect,Pin Hole,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041005.txt
55,PCB_20260510_163459_971385,Electrical / Circuit Defect,Open Circuit,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041005.txt
56,PCB_20260510_163459_971385,PCB / Pad / Surface Defect,Spur,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041005.txt
57,PCB_20260510_163500_006214,Electrical / Circuit Defect,Open Circuit,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041006.txt
58,PCB_20260510_163500_006214,PCB / Pad / Surface Defect,Spur,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041006.txt
59,PCB_20260510_163500_006214,PCB / Pad / Surface Defect,Spurious Copper,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041006.txt
60,PCB_20260510_163500_006214,PCB / Pad / Surface Defect,Pin Hole,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041006.txt
61,PCB_20260510_163500_006214,PCB / Pad / Surface Defect,Spurious Copper,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041006.txt
62,PCB_20260510_163500_006214,PCB / Pad / Surface Defect,Spur,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041006.txt
63,PCB_20260510_163500_006214,PCB / Pad / Surface Defect,Spur,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041006.txt
64,PCB_20260510_163500_006214,PCB / Pad / Surface Defect,Mouse Bite,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041006.txt
65,PCB_20260510_163500_006214,Electrical / Circuit Defect,Short Circuit,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041006.txt
66,PCB_20260510_163500_051400,Electrical / Circuit Defect,Open Circuit,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041007.txt
67,PCB_20260510_163500_051400,Electrical / Circuit Defect,Short Circuit,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041007.txt
68,PCB_20260510_163500_051400,PCB / Pad / Surface Defect,Mouse Bite,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041007.txt
69,PCB_20260510_163500_051400,PCB / Pad / Surface Defect,Mouse Bite,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041007.txt
70,PCB_20260510_163500_051400,PCB / Pad / Surface Defect,Spur,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041007.txt
71,PCB_20260510_163500_051400,PCB / Pad / Surface Defect,Spurious Copper,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041007.txt
72,PCB_20260510_163500_051400,PCB / Pad / Surface Defect,Spurious Copper,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041007.txt
73,PCB_20260510_163500_051400,Electrical / Circuit Defect,Open Circuit,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041007.txt
74,PCB_20260510_163500_102271,Electrical / Circuit Defect,Open Circuit,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041008.txt
75,PCB_20260510_163500_102271,Electrical / Circuit Defect,Short Circuit,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041008.txt
76,PCB_20260510_163500_102271,PCB / Pad / Surface Defect,Mouse Bite,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041008.txt
77,PCB_20260510_163500_102271,PCB / Pad / Surface Defect,Spurious Copper,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041008.txt
78,PCB_20260510_163500_102271,PCB / Pad / Surface Defect,Pin Hole,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041008.txt
79,PCB_20260510_163500_149031,Electrical / Circuit Defect,Open Circuit,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041009.txt
80,PCB_20260510_163500_149031,Electrical / Circuit Defect,Short Circuit,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041009.txt
81,PCB_20260510_163500_149031,PCB / Pad / Surface Defect,Mouse Bite,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041009.txt
82,PCB_20260510_163500_149031,PCB / Pad / Surface Defect,Spur,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041009.txt
83,PCB_20260510_163500_149031,PCB / Pad / Surface Defect,Spurious Copper,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041009.txt
84,PCB_20260510_163500_149031,PCB / Pad / Surface Defect,Mouse Bite,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041009.txt
85,PCB_20260517_175701_376880,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041010_temp.jpg
86,PCB_20260517_175701_428526,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041011_temp.jpg
87,PCB_20260517_175701_467682,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041012_temp.jpg
88,PCB_20260517_175701_503787,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041013_temp.jpg
89,PCB_20260517_175701_544497,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041014_temp.jpg
90,PCB_20260517_175701_584223,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041015_temp.jpg
91,PCB_20260517_175701_621680,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041016_temp.jpg
92,PCB_20260517_175701_670362,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041017_temp.jpg
93,PCB_20260517_175701_714022,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041018_temp.jpg
94,PCB_20260517_175701_765418,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041019_temp.jpg
95,PCB_20260517_175701_800298,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041020_temp.jpg
96,PCB_20260517_175701_834030,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041021_temp.jpg
97,PCB_20260517_175701_868763,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041022_temp.jpg
98,PCB_20260517_175701_898393,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041023_temp.jpg
99,PCB_20260517_175701_933421,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041024_temp.jpg
100,PCB_20260517_175701_966619,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041025_temp.jpg
101,PCB_20260517_175702_008838,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041026_temp.jpg
102,PCB_20260517_175702_049292,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041027_temp.jpg
103,PCB_20260517_175702_087526,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041028_temp.jpg
104,PCB_20260517_175702_128332,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041029_temp.jpg
105,PCB_20260517_175702_156082,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041030_temp.jpg
106,PCB_20260517_175702_191653,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041031_temp.jpg
107,PCB_20260517_175702_232737,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041032_temp.jpg
108,PCB_20260517_175702_273490,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041033_temp.jpg
109,PCB_20260517_175702_306238,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041034_temp.jpg
110,PCB_20260517_175702_340316,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041035_temp.jpg
111,PCB_20260517_175702_375449,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041036_temp.jpg
112,PCB_20260517_175702_417544,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041037_temp.jpg
113,PCB_20260517_175702_453669,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041038_temp.jpg
114,PCB_20260517_175702_492302,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041039_temp.jpg
115,PCB_20260517_175702_531740,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041040_temp.jpg
116,PCB_20260517_175702_572558,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041041_temp.jpg
117,PCB_20260517_175702_605798,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041042_temp.jpg
118,PCB_20260517_175702_647100,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041043_temp.jpg
119,PCB_20260517_175702_688548,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041044_temp.jpg
120,PCB_20260517_175702_733866,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041045_temp.jpg
121,PCB_20260517_175702_772064,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041046_temp.jpg
122,PCB_20260517_175702_807349,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041047_temp.jpg
123,PCB_20260517_175702_842055,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041048_temp.jpg
124,PCB_20260517_175702_875643,Good / Normal,Good / Normal,None,Template comparison,N/A,full_image,pending,auto_import,Automatically labeled from DeepPCB template image filename: 00041049_temp.jpg
125,PCB_20260517_175701_412301,Electrical / Circuit Defect,Open Circuit,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041010.txt
126,PCB_20260517_175701_412301,PCB / Pad / Surface Defect,Spur,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041010.txt
127,PCB_20260517_175701_412301,PCB / Pad / Surface Defect,Spurious Copper,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041010.txt
128,PCB_20260517_175701_412301,PCB / Pad / Surface Defect,Pin Hole,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041010.txt
129,PCB_20260517_175701_412301,PCB / Pad / Surface Defect,Spur,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041010.txt
130,PCB_20260517_175701_412301,PCB / Pad / Surface Defect,Spur,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041010.txt
131,PCB_20260517_175701_412301,PCB / Pad / Surface Defect,Mouse Bite,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041010.txt
132,PCB_20260517_175701_412301,Electrical / Circuit Defect,Short Circuit,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041010.txt
133,PCB_20260517_175701_412301,PCB / Pad / Surface Defect,Spurious Copper,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041010.txt
134,PCB_20260517_175701_448274,Electrical / Circuit Defect,Open Circuit,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041011.txt
135,PCB_20260517_175701_448274,Electrical / Circuit Defect,Short Circuit,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041011.txt
136,PCB_20260517_175701_448274,Electrical / Circuit Defect,Short Circuit,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041011.txt
137,PCB_20260517_175701_448274,PCB / Pad / Surface Defect,Spurious Copper,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041011.txt
138,PCB_20260517_175701_448274,PCB / Pad / Surface Defect,Spur,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041011.txt
139,PCB_20260517_175701_448274,PCB / Pad / Surface Defect,Spurious Copper,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041011.txt
140,PCB_20260517_175701_487592,Electrical / Circuit Defect,Open Circuit,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041012.txt
141,PCB_20260517_175701_487592,Electrical / Circuit Defect,Short Circuit,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041012.txt
142,PCB_20260517_175701_487592,PCB / Pad / Surface Defect,Mouse Bite,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041012.txt
143,PCB_20260517_175701_487592,PCB / Pad / Surface Defect,Spurious Copper,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041012.txt
144,PCB_20260517_175701_487592,PCB / Pad / Surface Defect,Spurious Copper,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041012.txt
145,PCB_20260517_175701_522307,Electrical / Circuit Defect,Open Circuit,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041013.txt
146,PCB_20260517_175701_522307,PCB / Pad / Surface Defect,Mouse Bite,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041013.txt
147,PCB_20260517_175701_522307,PCB / Pad / Surface Defect,Spurious Copper,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041013.txt
148,PCB_20260517_175701_522307,PCB / Pad / Surface Defect,Pin Hole,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041013.txt
149,PCB_20260517_175701_522307,PCB / Pad / Surface Defect,Spur,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041013.txt
150,PCB_20260517_175701_522307,PCB / Pad / Surface Defect,Mouse Bite,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041013.txt
151,PCB_20260517_175701_522307,Electrical / Circuit Defect,Short Circuit,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041013.txt
152,PCB_20260517_175701_522307,PCB / Pad / Surface Defect,Spurious Copper,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041013.txt
153,PCB_20260517_175701_522307,PCB / Pad / Surface Defect,Spur,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041013.txt
154,PCB_20260517_175701_565069,Electrical / Circuit Defect,Open Circuit,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041014.txt
155,PCB_20260517_175701_565069,Electrical / Circuit Defect,Short Circuit,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041014.txt
156,PCB_20260517_175701_565069,PCB / Pad / Surface Defect,Mouse Bite,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041014.txt
157,PCB_20260517_175701_565069,PCB / Pad / Surface Defect,Mouse Bite,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041014.txt
158,PCB_20260517_175701_565069,PCB / Pad / Surface Defect,Mouse Bite,Unknown,AOI / Visual,unknown,bbox,pending,auto_import,Imported from DeepPCB annotation file: 00041014.txt
