annotation_id,image_id,label_id,x_min,y_min,x_max,y_max,annotation_format,annotation_status
57,PCB_20260510_163500_051400,67,397,260,430,312,bbox,pending
58,PCB_20260510_163500_051400,68,200,260,233,286,bbox,pending
59,PCB_20260510_163500_051400,69,143,392,174,421,bbox,pending
60,PCB_20260510_163500_051400,70,193,419,228,446,bbox,pending
61,PCB_20260510_163500_051400,71,271,330,302,358,bbox,pending
62,PCB_20260510_163500_051400,72,44,366,85,409,bbox,pending
63,PCB_20260510_163500_051400,73,530,498,571,557,bbox,pending
64,PCB_20260510_163500_102271,74,402,115,469,158,bbox,pending
65,PCB_20260510_163500_102271,75,382,8,442,49,bbox,pending
66,PCB_20260510_163500_102271,76,455,178,495,205,bbox,pending
67,PCB_20260510_163500_102271,77,217,421,248,460,bbox,pending
68,PCB_20260510_163500_102271,78,526,166,560,194,bbox,pending
69,PCB_20260510_163500_149031,79,520,453,559,486,bbox,pending
70,PCB_20260510_163500_149031,80,134,484,190,519,bbox,pending
71,PCB_20260510_163500_149031,81,187,445,219,472,bbox,pending
72,PCB_20260510_163500_149031,82,137,454,176,484,bbox,pending
73,PCB_20260510_163500_149031,83,213,125,255,166,bbox,pending
74,PCB_20260510_163500_149031,84,272,258,309,289,bbox,pending
75,PCB_20260517_175701_412301,125,202,402,259,445,bbox,pending
76,PCB_20260517_175701_412301,126,340,270,381,305,bbox,pending
77,PCB_20260517_175701_412301,127,287,121,324,155,bbox,pending
78,PCB_20260517_175701_412301,128,358,600,391,633,bbox,pending
79,PCB_20260517_175701_412301,129,423,270,451,304,bbox,pending
80,PCB_20260517_175701_412301,130,107,322,144,350,bbox,pending
81,PCB_20260517_175701_412301,131,80,179,119,204,bbox,pending
82,PCB_20260517_175701_412301,132,87,84,136,110,bbox,pending
83,PCB_20260517_175701_412301,133,482,114,520,151,bbox,pending
84,PCB_20260517_175701_448274,134,287,386,323,439,bbox,pending
85,PCB_20260517_175701_448274,135,367,352,395,411,bbox,pending
86,PCB_20260517_175701_448274,136,567,338,600,372,bbox,pending
87,PCB_20260517_175701_448274,137,74,209,103,245,bbox,pending
88,PCB_20260517_175701_448274,138,219,318,260,353,bbox,pending
89,PCB_20260517_175701_448274,139,128,502,167,533,bbox,pending
90,PCB_20260517_175701_487592,140,212,508,247,537,bbox,pending
91,PCB_20260517_175701_487592,141,343,428,390,454,bbox,pending
92,PCB_20260517_175701_487592,142,316,582,353,609,bbox,pending
93,PCB_20260517_175701_487592,143,256,347,288,383,bbox,pending
94,PCB_20260517_175701_487592,144,462,300,495,350,bbox,pending
95,PCB_20260517_175701_522307,145,161,341,226,381,bbox,pending
96,PCB_20260517_175701_522307,146,279,337,317,366,bbox,pending
97,PCB_20260517_175701_522307,147,306,510,336,548,bbox,pending
98,PCB_20260517_175701_522307,148,340,400,381,433,bbox,pending
99,PCB_20260517_175701_522307,149,93,266,124,292,bbox,pending
100,PCB_20260517_175701_522307,150,106,217,138,247,bbox,pending
101,PCB_20260517_175701_522307,151,552,359,588,392,bbox,pending
102,PCB_20260517_175701_522307,152,483,500,517,528,bbox,pending
103,PCB_20260517_175701_522307,153,322,204,360,236,bbox,pending
104,PCB_20260517_175701_565069,154,521,494,551,526,bbox,pending
105,PCB_20260517_175701_565069,155,514,342,561,368,bbox,pending
106,PCB_20260517_175701_565069,156,456,522,486,553,bbox,pending
107,PCB_20260517_175701_565069,157,227,280,264,306,bbox,pending
108,PCB_20260517_175701_565069,158,167,73,197,104,bbox,pending
109,PCB_20260517_175701_565069,159,397,125,430,160,bbox,pending
110,PCB_20260517_175701_565069,160,346,376,388,402,bbox,pending
111,PCB_20260517_175701_565069,161,282,486,314,521,bbox,pending
112,PCB_20260517_175701_565069,162,152,352,189,383,bbox,pending
113,PCB_20260517_175701_565069,163,349,148,381,181,bbox,pending
114,PCB_20260517_175701_603569,164,544,124,573,156,bbox,pending
115,PCB_20260517_175701_603569,165,263,151,300,178,bbox,pending
116,PCB_20260517_175701_603569,166,395,224,433,250,bbox,pending
117,PCB_20260517_175701_603569,167,198,367,238,406,bbox,pending
118,PCB_20260517_175701_603569,168,372,100,405,130,bbox,pending
119,PCB_20260517_175701_647877,169,177,405,221,460,bbox,pending
120,PCB_20260517_175701_647877,170,248,439,277,495,bbox,pending
121,PCB_20260517_175701_647877,171,233,361,267,391,bbox,pending
122,PCB_20260517_175701_647877,172,303,366,334,402,bbox,pending
123,PCB_20260517_175701_647877,173,145,198,182,235,bbox,pending
124,PCB_20260517_175701_647877,174,340,425,404,463,bbox,pending
125,PCB_20260517_175701_647877,175,348,223,386,253,bbox,pending
126,PCB_20260517_175701_647877,176,402,160,438,187,bbox,pending
127,PCB_20260517_175701_691463,177,487,117,546,148,bbox,pending
128,PCB_20260517_175701_691463,178,129,190,160,219,bbox,pending
129,PCB_20260517_175701_691463,179,49,149,84,178,bbox,pending
130,PCB_20260517_175701_691463,180,96,51,149,94,bbox,pending
131,PCB_20260517_175701_691463,181,247,258,278,310,bbox,pending
132,PCB_20260517_175701_691463,182,464,375,509,432,bbox,pending
133,PCB_20260517_175701_691463,183,222,430,260,460,bbox,pending
134,PCB_20260517_175701_691463,184,108,254,141,285,bbox,pending
135,PCB_20260517_175701_691463,185,257,27,308,56,bbox,pending
136,PCB_20260517_175701_735907,186,230,148,276,180,bbox,pending
137,PCB_20260517_175701_735907,187,76,461,121,491,bbox,pending
138,PCB_20260517_175701_735907,188,265,558,308,590,bbox,pending
139,PCB_20260517_175701_735907,189,88,159,122,188,bbox,pending
140,PCB_20260517_175701_735907,190,180,224,244,249,bbox,pending
141,PCB_20260517_175701_735907,191,309,302,367,331,bbox,pending
142,PCB_20260517_175701_735907,192,284,79,331,113,bbox,pending
143,PCB_20260517_175701_782662,193,224,295,274,354,bbox,pending
144,PCB_20260517_175701_782662,194,325,320,359,354,bbox,pending
145,PCB_20260517_175701_782662,195,48,372,87,406,bbox,pending
146,PCB_20260517_175701_782662,196,22,231,60,272,bbox,pending
147,PCB_20260517_175701_782662,197,387,325,437,365,bbox,pending
148,PCB_20260517_175701_782662,198,38,273,70,305,bbox,pending
149,PCB_20260517_175701_817461,199,505,450,565,488,bbox,pending
150,PCB_20260517_175701_817461,200,191,292,231,326,bbox,pending
151,PCB_20260517_175701_817461,201,59,295,95,337,bbox,pending
152,PCB_20260517_175701_817461,202,127,135,168,177,bbox,pending
153,PCB_20260517_175701_817461,203,217,119,273,164,bbox,pending
154,PCB_20260517_175701_817461,204,412,122,469,164,bbox,pending
155,PCB_20260517_175701_850266,205,246,508,284,537,bbox,pending
156,PCB_20260517_175701_850266,206,226,232,262,262,bbox,pending
157,PCB_20260517_175701_850266,207,445,396,477,429,bbox,pending
158,PCB_20260517_175701_850266,208,203,443,261,472,bbox,pending
159,PCB_20260517_175701_850266,209,145,262,185,302,bbox,pending
160,PCB_20260517_175701_883073,210,188,485,236,541,bbox,pending
161,PCB_20260517_175701_883073,211,32,462,59,501,bbox,pending
162,PCB_20260517_175701_883073,212,297,481,333,513,bbox,pending
163,PCB_20260517_175701_883073,213,327,284,366,340,bbox,pending
164,PCB_20260517_175701_883073,214,123,509,147,544,bbox,pending
165,PCB_20260517_175701_915580,215,128,184,166,212,bbox,pending
166,PCB_20260517_175701_915580,216,51,226,104,262,bbox,pending
167,PCB_20260517_175701_915580,217,277,274,316,304,bbox,pending
168,PCB_20260517_175701_915580,218,542,254,567,288,bbox,pending
169,PCB_20260517_175701_915580,219,69,461,103,500,bbox,pending
170,PCB_20260517_175701_915580,220,182,297,212,328,bbox,pending
171,PCB_20260517_175701_915580,221,212,511,254,546,bbox,pending
172,PCB_20260517_175701_915580,222,137,241,170,276,bbox,pending
173,PCB_20260517_175701_950991,223,154,544,188,576,bbox,pending
174,PCB_20260517_175701_950991,224,196,567,239,601,bbox,pending
175,PCB_20260517_175701_950991,225,364,412,401,446,bbox,pending
176,PCB_20260517_175701_950991,226,226,186,256,217,bbox,pending
177,PCB_20260517_175701_950991,227,359,335,400,378,bbox,pending
178,PCB_20260517_175701_950991,228,236,472,279,501,bbox,pending
179,PCB_20260517_175701_950991,229,142,301,174,329,bbox,pending
180,PCB_20260517_175701_950991,230,136,76,175,111,bbox,pending
181,PCB_20260517_175701_988351,231,327,152,375,209,bbox,pending
182,PCB_20260517_175701_988351,232,194,120,241,158,bbox,pending
183,PCB_20260517_175701_988351,233,58,152,96,185,bbox,pending
184,PCB_20260517_175701_988351,234,198,78,235,111,bbox,pending
185,PCB_20260517_175701_988351,235,54,89,92,120,bbox,pending
186,PCB_20260517_175701_988351,236,269,364,308,398,bbox,pending
187,PCB_20260517_175701_988351,237,169,167,206,195,bbox,pending
188,PCB_20260517_175701_988351,238,510,30,546,61,bbox,pending
189,PCB_20260517_175702_028974,239,319,440,355,474,bbox,pending
190,PCB_20260517_175702_028974,240,441,483,472,523,bbox,pending
191,PCB_20260517_175702_028974,241,235,278,270,305,bbox,pending
192,PCB_20260517_175702_028974,242,131,443,157,474,bbox,pending
193,PCB_20260517_175702_028974,243,180,371,209,408,bbox,pending
194,PCB_20260517_175702_028974,244,65,338,95,367,bbox,pending
195,PCB_20260517_175702_028974,245,126,332,160,359,bbox,pending
196,PCB_20260517_175702_028974,246,188,132,241,168,bbox,pending
197,PCB_20260517_175702_028974,247,167,268,206,294,bbox,pending
198,PCB_20260517_175702_069307,248,324,379,380,404,bbox,pending
199,PCB_20260517_175702_069307,249,69,313,93,355,bbox,pending
200,PCB_20260517_175702_069307,250,122,303,157,333,bbox,pending
201,PCB_20260517_175702_069307,251,240,229,273,266,bbox,pending
202,PCB_20260517_175702_069307,252,94,155,120,196,bbox,pending
203,PCB_20260517_175702_069307,253,52,158,87,184,bbox,pending
204,PCB_20260517_175702_069307,254,182,443,218,472,bbox,pending
205,PCB_20260517_175702_069307,255,324,338,362,367,bbox,pending
206,PCB_20260517_175702_069307,256,175,361,212,401,bbox,pending
207,PCB_20260517_175702_069307,257,340,227,364,265,bbox,pending
208,PCB_20260517_175702_106686,258,259,348,287,380,bbox,pending
209,PCB_20260517_175702_106686,259,136,341,161,375,bbox,pending
210,PCB_20260517_175702_106686,260,143,287,175,319,bbox,pending
211,PCB_20260517_175702_106686,261,146,125,176,151,bbox,pending
212,PCB_20260517_175702_106686,262,226,230,273,258,bbox,pending
213,PCB_20260517_175702_106686,263,249,88,279,125,bbox,pending
214,PCB_20260517_175702_106686,264,326,201,353,230,bbox,pending
215,PCB_20260517_175702_106686,265,184,151,224,177,bbox,pending
216,PCB_20260517_175702_106686,266,382,191,419,224,bbox,pending
217,PCB_20260517_175702_144114,267,43,581,76,611,bbox,pending
218,PCB_20260517_175702_144114,268,226,316,269,376,bbox,pending
219,PCB_20260517_175702_144114,269,88,600,121,629,bbox,pending
220,PCB_20260517_175702_174554,270,211,252,251,287,bbox,pending
221,PCB_20260517_175702_174554,271,327,194,360,245,bbox,pending
222,PCB_20260517_175702_174554,272,172,59,207,89,bbox,pending
223,PCB_20260517_175702_174554,273,104,212,139,237,bbox,pending
224,PCB_20260517_175702_174554,274,57,110,85,145,bbox,pending
225,PCB_20260517_175702_174554,275,54,151,79,183,bbox,pending
226,PCB_20260517_175702_174554,276,210,123,249,157,bbox,pending
227,PCB_20260517_175702_174554,277,188,371,220,399,bbox,pending
228,PCB_20260517_175702_174554,278,508,378,544,430,bbox,pending
229,PCB_20260517_175702_174554,279,400,412,434,446,bbox,pending
230,PCB_20260517_175702_211249,280,337,339,378,404,bbox,pending
231,PCB_20260517_175702_211249,281,250,311,280,349,bbox,pending
232,PCB_20260517_175702_211249,282,106,247,142,277,bbox,pending
233,PCB_20260517_175702_211249,283,163,170,199,200,bbox,pending
234,PCB_20260517_175702_211249,284,5,216,29,251,bbox,pending
235,PCB_20260517_175702_211249,285,236,124,278,169,bbox,pending
236,PCB_20260517_175702_211249,286,385,251,416,279,bbox,pending
237,PCB_20260517_175702_211249,287,150,66,190,101,bbox,pending
238,PCB_20260517_175702_211249,288,391,319,431,348,bbox,pending
239,PCB_20260517_175702_211249,289,28,467,56,502,bbox,pending
240,PCB_20260517_175702_253865,290,284,126,320,154,bbox,pending
241,PCB_20260517_175702_253865,291,109,116,134,151,bbox,pending
242,PCB_20260517_175702_253865,292,76,60,114,85,bbox,pending
243,PCB_20260517_175702_253865,293,300,423,337,459,bbox,pending
244,PCB_20260517_175702_253865,294,209,303,250,338,bbox,pending
245,PCB_20260517_175702_253865,295,90,435,121,480,bbox,pending
246,PCB_20260517_175702_253865,296,421,120,448,153,bbox,pending
247,PCB_20260517_175702_253865,297,224,24,265,57,bbox,pending
248,PCB_20260517_175702_291857,298,172,390,222,447,bbox,pending
249,PCB_20260517_175702_291857,299,13,366,44,406,bbox,pending
250,PCB_20260517_175702_291857,300,258,420,290,452,bbox,pending
251,PCB_20260517_175702_291857,301,345,408,401,436,bbox,pending
252,PCB_20260517_175702_291857,302,192,231,225,288,bbox,pending
253,PCB_20260517_175702_291857,303,424,359,466,393,bbox,pending
254,PCB_20260517_175702_324212,304,319,224,399,270,bbox,pending
255,PCB_20260517_175702_324212,305,268,89,306,116,bbox,pending
256,PCB_20260517_175702_324212,306,214,548,264,577,bbox,pending
257,PCB_20260517_175702_324212,307,132,345,159,399,bbox,pending
258,PCB_20260517_175702_324212,308,357,315,405,353,bbox,pending
259,PCB_20260517_175702_324212,309,148,195,183,225,bbox,pending
260,PCB_20260517_175702_324212,310,414,109,478,144,bbox,pending
261,PCB_20260517_175702_324212,311,543,174,577,223,bbox,pending
262,PCB_20260517_175702_324212,312,586,170,621,213,bbox,pending
263,PCB_20260517_175702_357910,313,353,399,420,432,bbox,pending
264,PCB_20260517_175702_357910,314,188,151,226,179,bbox,pending
265,PCB_20260517_175702_357910,315,283,148,320,182,bbox,pending
266,PCB_20260517_175702_357910,316,98,354,140,387,bbox,pending
267,PCB_20260517_175702_357910,317,208,210,249,243,bbox,pending
268,PCB_20260517_175702_357910,318,252,316,290,343,bbox,pending
269,PCB_20260517_175702_357910,319,166,455,216,485,bbox,pending
270,PCB_20260517_175702_357910,320,388,255,431,292,bbox,pending
271,PCB_20260517_175702_357910,321,121,258,147,312,bbox,pending
272,PCB_20260517_175702_398475,322,464,279,510,339,bbox,pending
273,PCB_20260517_175702_398475,323,424,436,517,494,bbox,pending
274,PCB_20260517_175702_398475,324,179,338,211,370,bbox,pending
275,PCB_20260517_175702_398475,325,77,182,129,230,bbox,pending
276,PCB_20260517_175702_398475,326,245,142,285,166,bbox,pending
277,PCB_20260517_175702_398475,327,278,327,316,406,bbox,pending
278,PCB_20260517_175702_398475,328,41,312,98,351,bbox,pending
279,PCB_20260517_175702_398475,329,224,440,269,465,bbox,pending
280,PCB_20260517_175702_437083,330,409,222,468,264,bbox,pending
281,PCB_20260517_175702_437083,331,319,432,379,464,bbox,pending
282,PCB_20260517_175702_437083,332,242,45,287,96,bbox,pending
283,PCB_20260517_175702_437083,333,78,172,126,199,bbox,pending
284,PCB_20260517_175702_437083,334,97,396,135,424,bbox,pending
285,PCB_20260517_175702_437083,335,77,330,106,405,bbox,pending
286,PCB_20260517_175702_437083,336,264,261,315,306,bbox,pending
287,PCB_20260517_175702_437083,337,446,335,497,394,bbox,pending
288,PCB_20260517_175702_472970,338,184,503,228,537,bbox,pending
289,PCB_20260517_175702_472970,339,395,48,424,86,bbox,pending
290,PCB_20260517_175702_472970,340,268,281,321,317,bbox,pending
291,PCB_20260517_175702_472970,341,222,331,257,368,bbox,pending
292,PCB_20260517_175702_472970,342,203,307,254,336,bbox,pending
293,PCB_20260517_175702_472970,343,134,147,187,186,bbox,pending
294,PCB_20260517_175702_472970,344,341,200,385,251,bbox,pending
295,PCB_20260517_175702_514721,345,431,291,491,319,bbox,pending
296,PCB_20260517_175702_514721,346,493,261,564,294,bbox,pending
297,PCB_20260517_175702_514721,347,446,431,475,459,bbox,pending
298,PCB_20260517_175702_514721,348,477,430,513,462,bbox,pending
299,PCB_20260517_175702_514721,349,392,413,419,467,bbox,pending
300,PCB_20260517_175702_514721,350,203,344,249,404,bbox,pending
301,PCB_20260517_175702_551950,351,154,409,193,440,bbox,pending
302,PCB_20260517_175702_551950,352,91,316,125,341,bbox,pending
303,PCB_20260517_175702_551950,353,220,270,249,306,bbox,pending
304,PCB_20260517_175702_551950,354,319,225,362,259,bbox,pending
305,PCB_20260517_175702_551950,355,318,315,354,363,bbox,pending
306,PCB_20260517_175702_551950,356,461,212,500,236,bbox,pending
307,PCB_20260517_175702_551950,357,263,103,306,147,bbox,pending
308,PCB_20260517_175702_551950,358,115,144,158,174,bbox,pending
309,PCB_20260517_175702_551950,359,515,187,551,221,bbox,pending
310,PCB_20260517_175702_590237,360,305,301,339,331,bbox,pending
311,PCB_20260517_175702_590237,361,380,216,415,240,bbox,pending
312,PCB_20260517_175702_590237,362,238,241,273,266,bbox,pending
313,PCB_20260517_175702_590237,363,181,44,215,71,bbox,pending
314,PCB_20260517_175702_590237,364,181,62,213,97,bbox,pending
315,PCB_20260517_175702_590237,365,474,248,507,276,bbox,pending
316,PCB_20260517_175702_590237,366,568,47,602,81,bbox,pending
317,PCB_20260517_175702_590237,367,409,410,470,452,bbox,pending
318,PCB_20260517_175702_590237,368,217,359,250,387,bbox,pending
319,PCB_20260517_175702_590237,369,184,387,218,416,bbox,pending
320,PCB_20260517_175702_625072,370,318,110,345,152,bbox,pending
321,PCB_20260517_175702_625072,371,366,77,405,102,bbox,pending
322,PCB_20260517_175702_625072,372,159,84,191,139,bbox,pending
323,PCB_20260517_175702_625072,373,60,31,108,73,bbox,pending
324,PCB_20260517_175702_625072,374,452,132,485,159,bbox,pending
325,PCB_20260517_175702_625072,375,184,188,215,225,bbox,pending
326,PCB_20260517_175702_625072,376,60,141,102,166,bbox,pending
327,PCB_20260517_175702_625072,377,93,208,129,239,bbox,pending
328,PCB_20260517_175702_665393,378,375,385,438,429,bbox,pending
329,PCB_20260517_175702_665393,379,408,190,473,218,bbox,pending
330,PCB_20260517_175702_665393,380,379,246,413,273,bbox,pending
331,PCB_20260517_175702_665393,381,344,574,384,605,bbox,pending
332,PCB_20260517_175702_665393,382,135,185,170,230,bbox,pending
333,PCB_20260517_175702_665393,383,217,358,249,395,bbox,pending
334,PCB_20260517_175702_665393,384,49,442,92,468,bbox,pending
335,PCB_20260517_175702_665393,385,99,481,150,517,bbox,pending
336,PCB_20260517_175702_665393,386,50,489,89,516,bbox,pending
337,PCB_20260517_175702_665393,387,392,117,451,162,bbox,pending
338,PCB_20260517_175702_711242,388,162,240,194,271,bbox,pending
339,PCB_20260517_175702_711242,389,93,220,126,247,bbox,pending
340,PCB_20260517_175702_711242,390,131,461,168,487,bbox,pending
341,PCB_20260517_175702_711242,391,198,317,227,350,bbox,pending
342,PCB_20260517_175702_711242,392,416,225,453,262,bbox,pending
343,PCB_20260517_175702_711242,393,162,126,195,160,bbox,pending
344,PCB_20260517_175702_711242,394,401,69,437,93,bbox,pending
345,PCB_20260517_175702_711242,395,240,317,278,345,bbox,pending
346,PCB_20260517_175702_751109,396,269,226,306,257,bbox,pending
347,PCB_20260517_175702_751109,397,141,103,175,133,bbox,pending
348,PCB_20260517_175702_751109,398,217,489,252,518,bbox,pending
349,PCB_20260517_175702_751109,399,352,397,394,424,bbox,pending
350,PCB_20260517_175702_751109,400,406,194,445,228,bbox,pending
351,PCB_20260517_175702_751109,401,449,394,498,422,bbox,pending
352,PCB_20260517_175702_751109,402,212,274,240,302,bbox,pending
353,PCB_20260517_175702_751109,403,119,479,150,517,bbox,pending
354,PCB_20260517_175702_751109,404,218,126,252,162,bbox,pending
355,PCB_20260517_175702_790192,405,431,412,493,446,bbox,pending
356,PCB_20260517_175702_790192,406,395,499,436,527,bbox,pending
357,PCB_20260517_175702_790192,407,509,391,555,416,bbox,pending
358,PCB_20260517_175702_790192,408,467,569,501,596,bbox,pending
359,PCB_20260517_175702_790192,409,163,344,236,415,bbox,pending
360,PCB_20260517_175702_790192,410,244,16,285,45,bbox,pending
361,PCB_20260517_175702_826434,411,374,246,437,296,bbox,pending
362,PCB_20260517_175702_826434,412,322,379,355,423,bbox,pending
363,PCB_20260517_175702_826434,413,158,329,194,363,bbox,pending
364,PCB_20260517_175702_826434,414,385,361,428,387,bbox,pending
365,PCB_20260517_175702_826434,415,153,474,196,524,bbox,pending
366,PCB_20260517_175702_826434,416,251,190,301,236,bbox,pending
367,PCB_20260517_175702_826434,417,33,216,73,242,bbox,pending
368,PCB_20260517_175702_826434,418,113,249,139,285,bbox,pending
369,PCB_20260517_175702_826434,419,93,454,131,482,bbox,pending
370,PCB_20260517_175702_826434,420,66,400,100,440,bbox,pending
371,PCB_20260517_175702_858728,421,351,374,382,405,bbox,pending
372,PCB_20260517_175702_858728,422,329,171,360,200,bbox,pending
373,PCB_20260517_175702_858728,423,182,186,220,215,bbox,pending
374,PCB_20260517_175702_858728,424,415,286,443,316,bbox,pending
375,PCB_20260517_175702_858728,425,530,311,563,350,bbox,pending
376,PCB_20260517_175702_858728,426,152,273,182,310,bbox,pending
377,PCB_20260517_175702_858728,427,272,362,305,391,bbox,pending
378,PCB_20260517_175702_858728,428,240,89,276,113,bbox,pending
379,PCB_20260517_175702_890527,429,186,147,231,177,bbox,pending
380,PCB_20260517_175702_890527,430,257,228,289,265,bbox,pending
381,PCB_20260517_175702_890527,431,349,277,385,305,bbox,pending
382,PCB_20260517_175702_890527,432,448,276,486,305,bbox,pending
383,PCB_20260517_175702_890527,433,429,182,479,208,bbox,pending
384,PCB_20260517_175702_890527,434,80,150,119,177,bbox,pending
385,PCB_20260517_175702_890527,435,6,116,41,143,bbox,pending
386,PCB_20260517_175702_890527,436,350,100,387,129,bbox,pending
