image_id,original_filename,file_path,file_hash,image_width,image_height,image_source,board_id,inspection_side,capture_method,upload_date,status,dataset_name,dataset_original_id,dataset_split,inspection_stage,annotation_available,license_note
PCB_20260517_175701_376880,00041010_temp.jpg,data\images\raw\PCB_20260517_175701_376880.jpg,85f169b42a2b05d272483c103c677d00,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:01,pending,DeepPCB,00041010,unknown,bare_pcb_surface,no,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175701_412301,00041010_test.jpg,data\images\raw\PCB_20260517_175701_412301.jpg,e4deac04784b87a8ede07376361b0813,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:01,pending,DeepPCB,00041010,unknown,bare_pcb_surface,yes,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175701_428526,00041011_temp.jpg,data\images\raw\PCB_20260517_175701_428526.jpg,04d3d0d6fc687893b9704dd012a2ea37,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:01,pending,DeepPCB,00041011,unknown,bare_pcb_surface,no,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175701_448274,00041011_test.jpg,data\images\raw\PCB_20260517_175701_448274.jpg,c540fd5a32c035ad56e5e7278605f11b,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:01,pending,DeepPCB,00041011,unknown,bare_pcb_surface,yes,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175701_467682,00041012_temp.jpg,data\images\raw\PCB_20260517_175701_467682.jpg,34ecc889aaa45534bf76c4b0ccf46db8,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:01,pending,DeepPCB,00041012,unknown,bare_pcb_surface,no,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175701_487592,00041012_test.jpg,data\images\raw\PCB_20260517_175701_487592.jpg,b08603a1fab4d1636c63866ae898d0aa,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:01,pending,DeepPCB,00041012,unknown,bare_pcb_surface,yes,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175701_503787,00041013_temp.jpg,data\images\raw\PCB_20260517_175701_503787.jpg,15e5dd726ab6530cabb6c4aea3e88cd6,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:01,pending,DeepPCB,00041013,unknown,bare_pcb_surface,no,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175701_522307,00041013_test.jpg,data\images\raw\PCB_20260517_175701_522307.jpg,4f88e8a2fb16602c2d680718aefab040,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:01,pending,DeepPCB,00041013,unknown,bare_pcb_surface,yes,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175701_544497,00041014_temp.jpg,data\images\raw\PCB_20260517_175701_544497.jpg,285683018bc23361fea1f7693ad4b0a1,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:01,pending,DeepPCB,00041014,unknown,bare_pcb_surface,no,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175701_565069,00041014_test.jpg,data\images\raw\PCB_20260517_175701_565069.jpg,0c8adc1aefd652e5ec6f5fef369f61b4,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:01,pending,DeepPCB,00041014,unknown,bare_pcb_surface,yes,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175701_584223,00041015_temp.jpg,data\images\raw\PCB_20260517_175701_584223.jpg,a9245f4a4a2d8a6967118385c9208f7c,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:01,pending,DeepPCB,00041015,unknown,bare_pcb_surface,no,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175701_603569,00041015_test.jpg,data\images\raw\PCB_20260517_175701_603569.jpg,641f327e04ee99ef5920bb568393d81d,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:01,pending,DeepPCB,00041015,unknown,bare_pcb_surface,yes,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175701_621680,00041016_temp.jpg,data\images\raw\PCB_20260517_175701_621680.jpg,ffcfffb4d726b91302f971fef9003024,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:01,pending,DeepPCB,00041016,unknown,bare_pcb_surface,no,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175701_647877,00041016_test.jpg,data\images\raw\PCB_20260517_175701_647877.jpg,277ba59c6ab90b68800427bbe13adb91,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:01,pending,DeepPCB,00041016,unknown,bare_pcb_surface,yes,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175701_670362,00041017_temp.jpg,data\images\raw\PCB_20260517_175701_670362.jpg,fc3fd58c78027447d399d3ecd338be6e,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:01,pending,DeepPCB,00041017,unknown,bare_pcb_surface,no,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175701_691463,00041017_test.jpg,data\images\raw\PCB_20260517_175701_691463.jpg,d096b032a4c8743067e70382c25a52c7,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:01,pending,DeepPCB,00041017,unknown,bare_pcb_surface,yes,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175701_714022,00041018_temp.jpg,data\images\raw\PCB_20260517_175701_714022.jpg,3517fa7fb5fcb464e0939b9c876c10ba,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:01,pending,DeepPCB,00041018,unknown,bare_pcb_surface,no,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175701_735907,00041018_test.jpg,data\images\raw\PCB_20260517_175701_735907.jpg,642e1ab67f609c835a5af3d9d2e5895f,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:01,pending,DeepPCB,00041018,unknown,bare_pcb_surface,yes,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175701_765418,00041019_temp.jpg,data\images\raw\PCB_20260517_175701_765418.jpg,776b1acfd7f77a8cc4a46c4a18badb5e,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:01,pending,DeepPCB,00041019,unknown,bare_pcb_surface,no,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175701_782662,00041019_test.jpg,data\images\raw\PCB_20260517_175701_782662.jpg,62312bddc57811e16a296ddade45c004,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:01,pending,DeepPCB,00041019,unknown,bare_pcb_surface,yes,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175701_800298,00041020_temp.jpg,data\images\raw\PCB_20260517_175701_800298.jpg,3a04dfd2430522375b397226de24c304,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:01,pending,DeepPCB,00041020,unknown,bare_pcb_surface,no,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175701_817461,00041020_test.jpg,data\images\raw\PCB_20260517_175701_817461.jpg,173abd5acb71da1e278746ca820dc9f5,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:01,pending,DeepPCB,00041020,unknown,bare_pcb_surface,yes,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175701_834030,00041021_temp.jpg,data\images\raw\PCB_20260517_175701_834030.jpg,2100b173b890f51ecffc2e7efed0a83e,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:01,pending,DeepPCB,00041021,unknown,bare_pcb_surface,no,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175701_850266,00041021_test.jpg,data\images\raw\PCB_20260517_175701_850266.jpg,83293bfc3f5dea157c6be8fb343ef437,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:01,pending,DeepPCB,00041021,unknown,bare_pcb_surface,yes,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175701_868763,00041022_temp.jpg,data\images\raw\PCB_20260517_175701_868763.jpg,c761a9212fe714b84e5be5140b3106b6,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:01,pending,DeepPCB,00041022,unknown,bare_pcb_surface,no,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175701_883073,00041022_test.jpg,data\images\raw\PCB_20260517_175701_883073.jpg,2e6ae2013b9ce0f9beebf1de88193bce,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:01,pending,DeepPCB,00041022,unknown,bare_pcb_surface,yes,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175701_898393,00041023_temp.jpg,data\images\raw\PCB_20260517_175701_898393.jpg,b378e4391c2a24f1c2142a8e8476d4f1,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:01,pending,DeepPCB,00041023,unknown,bare_pcb_surface,no,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175701_915580,00041023_test.jpg,data\images\raw\PCB_20260517_175701_915580.jpg,9b125dfdd83331735ed11759ea67a829,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:01,pending,DeepPCB,00041023,unknown,bare_pcb_surface,yes,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175701_933421,00041024_temp.jpg,data\images\raw\PCB_20260517_175701_933421.jpg,224a1e25cbf385e66321d0058b522ad1,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:01,pending,DeepPCB,00041024,unknown,bare_pcb_surface,no,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175701_950991,00041024_test.jpg,data\images\raw\PCB_20260517_175701_950991.jpg,c0cb42b739113ec3deaa9d76920d5473,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:01,pending,DeepPCB,00041024,unknown,bare_pcb_surface,yes,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175701_966619,00041025_temp.jpg,data\images\raw\PCB_20260517_175701_966619.jpg,774e06de5bda0f3238523bd74a69ccfc,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:01,pending,DeepPCB,00041025,unknown,bare_pcb_surface,no,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175701_988351,00041025_test.jpg,data\images\raw\PCB_20260517_175701_988351.jpg,15360d26e55a2571118dfab659658491,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:01,pending,DeepPCB,00041025,unknown,bare_pcb_surface,yes,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175702_008838,00041026_temp.jpg,data\images\raw\PCB_20260517_175702_008838.jpg,a9bf525e00004a244913717dc334c439,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:02,pending,DeepPCB,00041026,unknown,bare_pcb_surface,no,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175702_028974,00041026_test.jpg,data\images\raw\PCB_20260517_175702_028974.jpg,94d1b0ab48eacedb225d8bba4ae56e8e,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:02,pending,DeepPCB,00041026,unknown,bare_pcb_surface,yes,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175702_049292,00041027_temp.jpg,data\images\raw\PCB_20260517_175702_049292.jpg,42f55baed6eb0cb3e2d70fc1499e349d,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:02,pending,DeepPCB,00041027,unknown,bare_pcb_surface,no,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175702_069307,00041027_test.jpg,data\images\raw\PCB_20260517_175702_069307.jpg,8cfec8b320401112540227c33abb9c09,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:02,pending,DeepPCB,00041027,unknown,bare_pcb_surface,yes,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175702_087526,00041028_temp.jpg,data\images\raw\PCB_20260517_175702_087526.jpg,91dee59970c2c1412b511a24e11dac6c,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:02,pending,DeepPCB,00041028,unknown,bare_pcb_surface,no,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175702_106686,00041028_test.jpg,data\images\raw\PCB_20260517_175702_106686.jpg,8269acf41c18a5d989cd8aa53a6447a8,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:02,pending,DeepPCB,00041028,unknown,bare_pcb_surface,yes,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175702_128332,00041029_temp.jpg,data\images\raw\PCB_20260517_175702_128332.jpg,c3ab1821d9d315ddc1dbd745f75b163a,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:02,pending,DeepPCB,00041029,unknown,bare_pcb_surface,no,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175702_144114,00041029_test.jpg,data\images\raw\PCB_20260517_175702_144114.jpg,f4ab8eca0e357a023bf682d4510a6b56,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:02,pending,DeepPCB,00041029,unknown,bare_pcb_surface,yes,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175702_156082,00041030_temp.jpg,data\images\raw\PCB_20260517_175702_156082.jpg,24e3e8f53ad246655f759351a95fd2c5,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:02,pending,DeepPCB,00041030,unknown,bare_pcb_surface,no,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175702_174554,00041030_test.jpg,data\images\raw\PCB_20260517_175702_174554.jpg,223a8db030e36a3049864443a358edc3,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:02,pending,DeepPCB,00041030,unknown,bare_pcb_surface,yes,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175702_191653,00041031_temp.jpg,data\images\raw\PCB_20260517_175702_191653.jpg,7825222f005fd3840d99a3a2bd719ba2,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:02,pending,DeepPCB,00041031,unknown,bare_pcb_surface,no,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175702_211249,00041031_test.jpg,data\images\raw\PCB_20260517_175702_211249.jpg,58fda11527ff3fe09334b20241193491,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:02,pending,DeepPCB,00041031,unknown,bare_pcb_surface,yes,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175702_232737,00041032_temp.jpg,data\images\raw\PCB_20260517_175702_232737.jpg,87bcf28a3cc1b00f02dcd6b1c5755b78,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:02,pending,DeepPCB,00041032,unknown,bare_pcb_surface,no,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175702_253865,00041032_test.jpg,data\images\raw\PCB_20260517_175702_253865.jpg,b1a6aebaea50ec62d8dd8c0f5f48f40f,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:02,pending,DeepPCB,00041032,unknown,bare_pcb_surface,yes,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175702_273490,00041033_temp.jpg,data\images\raw\PCB_20260517_175702_273490.jpg,a9e94efe84d5458a792f707cf4f7f812,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:02,pending,DeepPCB,00041033,unknown,bare_pcb_surface,no,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175702_291857,00041033_test.jpg,data\images\raw\PCB_20260517_175702_291857.jpg,4d9026078d9f1bcd3ca8de94387c7cd7,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:02,pending,DeepPCB,00041033,unknown,bare_pcb_surface,yes,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175702_306238,00041034_temp.jpg,data\images\raw\PCB_20260517_175702_306238.jpg,32db75a8a1f236df8db3693a33274f24,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:02,pending,DeepPCB,00041034,unknown,bare_pcb_surface,no,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175702_324212,00041034_test.jpg,data\images\raw\PCB_20260517_175702_324212.jpg,699d61104e7bf20fb0ce3dd9fd0086d4,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:02,pending,DeepPCB,00041034,unknown,bare_pcb_surface,yes,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175702_340316,00041035_temp.jpg,data\images\raw\PCB_20260517_175702_340316.jpg,858e3157d031ed7273f2f4c25e4d51a7,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:02,pending,DeepPCB,00041035,unknown,bare_pcb_surface,no,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175702_357910,00041035_test.jpg,data\images\raw\PCB_20260517_175702_357910.jpg,052e3826c11f27844f4ee9687603b01d,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:02,pending,DeepPCB,00041035,unknown,bare_pcb_surface,yes,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175702_375449,00041036_temp.jpg,data\images\raw\PCB_20260517_175702_375449.jpg,336f32120a9ec3650d810d228ed51eaa,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:02,pending,DeepPCB,00041036,unknown,bare_pcb_surface,no,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175702_398475,00041036_test.jpg,data\images\raw\PCB_20260517_175702_398475.jpg,f742fea1671d47477e95c615d8ac4434,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:02,pending,DeepPCB,00041036,unknown,bare_pcb_surface,yes,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175702_417544,00041037_temp.jpg,data\images\raw\PCB_20260517_175702_417544.jpg,1c579b242179640e0c6c90ac8e3cfe01,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:02,pending,DeepPCB,00041037,unknown,bare_pcb_surface,no,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175702_437083,00041037_test.jpg,data\images\raw\PCB_20260517_175702_437083.jpg,f4882645e78c6729392cde0a3238382f,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:02,pending,DeepPCB,00041037,unknown,bare_pcb_surface,yes,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175702_453669,00041038_temp.jpg,data\images\raw\PCB_20260517_175702_453669.jpg,67ba5fb5696c63fe82edce8d7da2f0c6,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:02,pending,DeepPCB,00041038,unknown,bare_pcb_surface,no,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175702_472970,00041038_test.jpg,data\images\raw\PCB_20260517_175702_472970.jpg,a37d9e0af5986b3bd0d17f45b750974a,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:02,pending,DeepPCB,00041038,unknown,bare_pcb_surface,yes,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175702_492302,00041039_temp.jpg,data\images\raw\PCB_20260517_175702_492302.jpg,2874734fe72a0d575827cf1e10aad830,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:02,pending,DeepPCB,00041039,unknown,bare_pcb_surface,no,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175702_514721,00041039_test.jpg,data\images\raw\PCB_20260517_175702_514721.jpg,b607aa14be50931f441425a7695277f9,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:02,pending,DeepPCB,00041039,unknown,bare_pcb_surface,yes,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175702_531740,00041040_temp.jpg,data\images\raw\PCB_20260517_175702_531740.jpg,32e35bdad98cdef283cc35bcc2a78f7a,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:02,pending,DeepPCB,00041040,unknown,bare_pcb_surface,no,DeepPCB public GitHub dataset; verify use conditions before commercial use
PCB_20260517_175702_551950,00041040_test.jpg,data\images\raw\PCB_20260517_175702_551950.jpg,48899d89ad11a6a90ba5061397e7f8d9,640,640,public_dataset,unknown_board,unknown,manual_upload,2026-05-17T17:57:02,pending,DeepPCB,00041040,unknown,bare_pcb_surface,yes,DeepPCB public GitHub dataset; verify use conditions before commercial use
