split_id,image_id,dataset_original_id,split_name,split_method,created_at,notes
44,PCB_20260517_175701_850266,00041021,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
45,PCB_20260517_175701_868763,00041022,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
46,PCB_20260517_175701_883073,00041022,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
47,PCB_20260517_175701_898393,00041023,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
48,PCB_20260517_175701_915580,00041023,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
49,PCB_20260517_175701_933421,00041024,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
50,PCB_20260517_175701_950991,00041024,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
51,PCB_20260517_175701_966619,00041025,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
52,PCB_20260517_175701_988351,00041025,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
53,PCB_20260517_175702_008838,00041026,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
54,PCB_20260517_175702_028974,00041026,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
55,PCB_20260517_175702_049292,00041027,validation,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
56,PCB_20260517_175702_069307,00041027,validation,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
57,PCB_20260517_175702_087526,00041028,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
58,PCB_20260517_175702_106686,00041028,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
59,PCB_20260517_175702_128332,00041029,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
60,PCB_20260517_175702_144114,00041029,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
61,PCB_20260517_175702_156082,00041030,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
62,PCB_20260517_175702_174554,00041030,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
63,PCB_20260517_175702_191653,00041031,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
64,PCB_20260517_175702_211249,00041031,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
65,PCB_20260517_175702_232737,00041032,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
66,PCB_20260517_175702_253865,00041032,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
67,PCB_20260517_175702_273490,00041033,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
68,PCB_20260517_175702_291857,00041033,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
69,PCB_20260517_175702_306238,00041034,validation,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
70,PCB_20260517_175702_324212,00041034,validation,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
71,PCB_20260517_175702_340316,00041035,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
72,PCB_20260517_175702_357910,00041035,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
73,PCB_20260517_175702_375449,00041036,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
74,PCB_20260517_175702_398475,00041036,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
75,PCB_20260517_175702_417544,00041037,validation,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
76,PCB_20260517_175702_437083,00041037,validation,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
77,PCB_20260517_175702_453669,00041038,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
78,PCB_20260517_175702_472970,00041038,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
79,PCB_20260517_175702_492302,00041039,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
80,PCB_20260517_175702_514721,00041039,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
81,PCB_20260517_175702_531740,00041040,test,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
82,PCB_20260517_175702_551950,00041040,test,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
83,PCB_20260517_175702_572558,00041041,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
84,PCB_20260517_175702_590237,00041041,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
85,PCB_20260517_175702_605798,00041042,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
86,PCB_20260517_175702_625072,00041042,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
87,PCB_20260517_175702_647100,00041043,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
88,PCB_20260517_175702_665393,00041043,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
89,PCB_20260517_175702_688548,00041044,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
90,PCB_20260517_175702_711242,00041044,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
91,PCB_20260517_175702_733866,00041045,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
92,PCB_20260517_175702_751109,00041045,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
93,PCB_20260517_175702_772064,00041046,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
94,PCB_20260517_175702_790192,00041046,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
95,PCB_20260517_175702_807349,00041047,validation,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
96,PCB_20260517_175702_826434,00041047,validation,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
97,PCB_20260517_175702_842055,00041048,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
98,PCB_20260517_175702_858728,00041048,train,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
99,PCB_20260517_175702_875643,00041049,validation,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
100,PCB_20260517_175702_890527,00041049,validation,grouped_by_dataset_original_id,2026-05-17T18:39:03,DeepPCB template/test pairs kept in same split to reduce leakage.
